ID,OfficialViols,AEP,RepairCount,RepairCost,ClassB_count,ClassB,ClassC_count,ClassC,SumViols,ViolsDiff
1,186,1,6,6017,67,67,45,45,112,74
2,169,1,7,2286,68,68,30,30,98,71
3,199,1,,,69,69,31,31,100,99
4,238,1,4,8722,75,75,40,40,115,123
5,108,1,14,105142.37,37,37,34,34,71,37
6,232,1,5,3134,105,105,23,23,128,104
7,672,1,20,68366.6,107,107,38,38,145,527
8,283,1,23,35157.03,91,91,61,61,152,131
9,280,1,5,2794,131,131,63,63,194,86
10,181,1,1,420,133,133,17,17,150,31
11,407,1,4,3355,107,107,27,27,134,273
12,143,1,6,3330,71,71,68,68,139,4
13,465,1,6,5718,115,115,17,17,132,333
14,473,1,2,7850,134,134,78,78,212,261
15,460,1,8,4959,105,105,83,83,188,272
16,191,1,4,4810.87,45,45,29,29,74,117
17,290,1,2,655,61,61,38,38,99,191
18,876,1,10,7038,144,144,37,37,181,695
19,694,1,42,29859.03,136,136,102,102,238,456
20,975,1,29,19374.6,81,81,29,29,110,865
21,393,1,12,7062,80,80,24,24,104,289
22,106,1,1,280,57,57,35,35,92,14
23,242,1,5,4009,82,82,40,40,122,120
24,806,1,6,2098.6,98,98,39,39,137,669
25,220,1,15,5650.8,139,139,40,40,179,41
26,215,1,15,932,104,104,22,22,126,89
27,294,1,7,3274,108,108,41,41,149,145
28,1008,1,29,25018.45,324,324,107,107,431,577
29,1141,1,44,184694.31,176,176,106,106,282,859
30,738,1,17,3543.9,78,78,26,26,104,634
31,744,1,54,39817.95,185,185,50,50,235,509
32,223,1,9,5366,87,87,29,29,116,107
33,1741,1,42,23593.2,93,93,76,76,169,1572
34,262,1,10,6298,160,160,19,19,179,83
35,379,1,9,3584.4,154,154,16,16,170,209
36,405,1,4,2275,124,124,25,25,149,256
37,816,1,27,7145.7,120,120,78,78,198,618
38,465,1,8,8163,83,83,31,31,114,351
39,1145,1,43,26923.7,158,158,132,132,290,855
40,1642,1,84,99013.03,382,382,145,145,527,1115
41,382,1,7,4272,98,98,33,33,131,251
42,923,1,23,10173.15,220,220,91,91,311,612
43,154,1,13,28007.54,36,36,32,32,68,86
44,556,1,11,10333,94,94,41,41,135,421
45,569,1,6,3519,105,105,34,34,139,430
46,307,1,25,8977.55,99,99,43,43,142,165
47,1220,1,48,37377.13,159,159,72,72,231,989
48,1823,1,64,60014.5,158,158,81,81,239,1584
49,286,1,32,32191.95,130,130,101,101,231,55
50,757,1,48,22889.4,106,106,36,36,142,615
51,323,1,5,4031.3,149,149,18,18,167,156
52,1026,1,35,26785.07,248,248,126,126,374,652
53,240,1,14,9916,96,96,26,26,122,118
54,726,1,7,1864.65,300,300,43,43,343,383
55,837,1,16,8318.1,151,151,33,33,184,653
56,798,1,58,54259,240,240,102,102,342,456
57,609,1,19,28082.8,107,107,36,36,143,466
58,803,1,36,23624,98,98,19,19,117,686
59,1855,1,75,44940.79,115,115,58,58,173,1682
60,441,1,16,3570.8,145,145,24,24,169,272
61,352,1,2,2651,82,82,17,17,99,253
62,1281,1,29,14262.55,243,243,68,68,311,970
63,4466,1,115,149903.31,478,478,179,179,657,3809
64,948,1,24,9033.45,144,144,59,59,203,745
65,750,1,34,10092.9,206,206,115,115,321,429
66,1062,1,72,80146,84,84,30,30,114,948
67,978,1,35,16966.43,200,200,101,101,301,677
68,347,1,8,3555,128,128,39,39,167,180
69,240,1,26,18309.2,45,45,21,21,66,174
70,57,1,10,19712,11,11,37,37,48,9
71,148,1,26,39006.68,46,46,49,49,95,53
72,367,1,23,12529.35,126,126,67,67,193,174
73,170,1,9,25850,103,103,27,27,130,40
74,1461,1,34,12284.7,252,252,78,78,330,1131
75,4792,1,138,102611.3,441,441,82,82,523,4269
76,1001,1,24,20970.2,166,166,37,37,203,798
77,264,1,17,13010.2,113,113,46,46,159,105
78,116,1,12,15721,33,33,18,18,51,65
79,1412,1,83,53152.67,189,189,69,69,258,1154
80,393,1,12,8482,230,230,39,39,269,124
81,961,1,21,30950.55,126,126,46,46,172,789
82,1031,1,13,7978.55,395,395,61,61,456,575
83,717,1,18,8178.6,202,202,29,29,231,486
84,435,1,17,7353,161,161,64,64,225,210
85,346,1,11,4746,126,126,34,34,160,186
86,1264,1,37,29991.5,226,226,109,109,335,929
87,866,1,12,4860.6,83,83,33,33,116,750
88,682,1,19,6420.05,158,158,134,134,292,390
89,222,1,3,221,59,59,13,13,72,150
90,273,1,7,852,61,61,36,36,97,176
91,702,1,16,5783.5,196,196,54,54,250,452
92,509,1,17,11407.45,79,79,36,36,115,394
93,386,1,16,12276.1,204,204,47,47,251,135
94,1020,1,16,5815.66,120,120,26,26,146,874
95,1272,1,50,65115.38,101,101,54,54,155,1117
96,1526,1,56,28861.25,257,257,125,125,382,1144
