Year,Manhattan,Bronx,Brooklyn,Queens,StatenIsland
2000,12.5,17.95,15.95,12.7,12.2
2001,12.7,18.3,16.05,12.05,11.3
2002,12.55,17.85,15.25,11.95,11.8
2003,13.4,17.5,15.3,12.1,12.2
2004,13.55,17.35,15.3,12.35,11.5
2005,13.65,17.35,15.35,12.05,10.8
2006,13.25,17.65,15.5,12.4,11.2
2007,13.3,17.95,16.35,12.7,11.3
2008,13.15,17.95,16.3,12.85,11.4
2009,12.9,18.05,16.15,12.35,11.3
2010,12.5,17.05,15.85,11.45,10.5
2011,11.9,16.95,15.65,11.8,11.6
2012,11.4,16.05,15.45,11.65,10.3
2013,11.55,15.65,14.95,11.8,10.4
2014,10.85,15.15,14.75,11.7,10.3
2015,11.05,14.9,14.45,11.7,10.6
2016,10.45,14.8,14.45,11.7,11.1
2017,10.55,13.85,13.7,11.15,10.4
